File #,DateTime,Operator,Sample Name,Sample ID,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,Rb,Rb Err,Sr,Sr Err,Zr,Zr Err,Nb,Nb Err,Sn,Sn Err,Cs,Cs Err,Ba,Ba Err,Ta,Ta Err,W,W Err,Tl,Tl Err,Pb,Pb Err,Li_IDX,Li_IDX Err,Multiplier,Cal Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,1/03/2006 20:58,Supervisor,MAD213,742.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1699,0.1294,4.4762,0.0888,22.6084,0.1739,0.2404,0.0188,0.0998,0.0072,3.4596,0.0229,0.3254,0.0081,,,,,,,,,,,,,,,,,< LOD,0.0016,0.0021,0.0019,,,,,0.0355,0.0017,0.0025,0.0004,,,< LOD,0.0005,< LOD,0.0004,,,,,,,,,,,,,,,< LOD,0.0014,,,,,< LOD,0.0035,0.0097,0.0096,,,< LOD,0.0013,< LOD,0.0044,,,,,,,,,,,< LOD,0.0013,0.0058,0.0018,,,,,3,Passed,,
319,1/03/2006 20:59,Supervisor,MAD213,743,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1366,5.7409,0.1033,33.9988,0.226,0.2965,0.0218,0.1355,0.0082,3.4148,0.0231,0.7001,0.0113,,,,,,,,,,,,,,,,,0.0022,0.0018,< LOD,0.0018,,,,,0.0377,0.0018,0.0036,0.0005,,,< LOD,0.0006,< LOD,0.0005,,,,,,,,,,,,,,,< LOD,0.0014,,,,,< LOD,0.0046,< LOD,0.0107,,,< LOD,0.0013,< LOD,0.0046,,,,,,,,,,,< LOD,0.0014,0.0065,0.0018,,,,,3,Passed,,
File #,DateTime,Operator,Sample Name,Sample ID,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Li,Li Err,Be,Be Err,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Cs,Cs Err,Ba,Ba Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,U,U Err,Li_IDX,Li_IDX Err,Multiplier,Cal Check
320,1/03/2006 21:00,Supervisor,MAD213,743.5,Li Index,Li Index,59,PWA1497,0,TMS138,0,TMS138ARu,0,,,,,0.1392,0.1099,2.5733,0.0727,19.5972,0.1589,0.1653,0.0163,0.0573,0.006,0.1316,0.0056,0.589,0.0087,,,,,,,,,,,,,,,,,0.0016,0.0016,0.0029,0.002,,,,,0.0016,0.0005,0.0062,0.0005,,,< LOD,0.0005,< LOD,0.0004,,,,,,,,,,,,,,,0.0021,0.0014,,,,,< LOD,0.0029,< LOD,0.0098,,,< LOD,0.0013,< LOD,0.0032,,,,,,,,,,,0.0009,0.0009,0.0058,0.0017,,,,,0.0014,0,3,Passed
321,1/03/2006 21:02,Supervisor,MAD213,744,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1425,0.1284,5.767,0.0996,27.9706,0.1983,0.0891,0.0135,0.0603,0.0059,4.8228,0.0266,0.1837,0.0076,,,,,,,,,,,,,,,,,< LOD,0.0014,< LOD,0.0015,,,,,0.0574,0.0022,0.0024,0.0004,,,< LOD,0.0004,< LOD,0.0003,,,,,,,,,,,,,,,< LOD,0.0011,,,,,< LOD,0.0034,0.0155,0.0082,,,< LOD,0.0011,< LOD,0.0051,,,,,,,,,,,< LOD,0.0014,0.0064,0.0015,,,,,3,Passed,,
322,1/03/2006 21:04,Supervisor,MAD213,744.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1375,7.485,0.1123,31.8903,0.2165,0.0994,0.0145,0.0669,0.0063,7.0759,0.0317,0.1614,0.0083,,,,,,,,,,,,,,,,,< LOD,0.0016,< LOD,0.0018,,,,,0.066,0.0022,0.0044,0.0005,,,< LOD,0.0005,< LOD,0.0004,,,,,,,,,,,,,,,< LOD,0.0013,,,,,< LOD,0.0047,0.0177,0.0098,,,< LOD,0.0012,< LOD,0.0046,,,,,,,,,,,< LOD,0.0014,0.0056,0.0017,,,,,3,Passed,,
323,1/03/2006 21:05,Supervisor,MAD213,745,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.132,0.1202,3.1479,0.075,20.1624,0.1627,0.2507,0.019,0.7261,0.0157,2.8557,0.0209,0.4954,0.0089,,,,,,,,,,,,,,,,,0.0018,0.0014,0.0019,0.0016,,,,,0.0652,0.0027,0.0028,0.0004,,,< LOD,0.0004,< LOD,0.0003,,,,,,,,,,,,,,,< LOD,0.0011,,,,,< LOD,0.0027,0.0101,0.0079,,,< LOD,0.0011,< LOD,0.0061,,,,,,,,,,,< LOD,0.0017,0.0049,0.0016,,,,,3,Passed,,
324,1/03/2006 21:07,Supervisor,MAD213,745.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1392,6.9623,0.1148,33.0766,0.221,0.2171,0.0195,0.1122,0.0075,0.2605,0.0076,1.4435,0.0142,,,,,,,,,,,,,,,,,< LOD,0.0018,0.003,0.0021,,,,,0.0019,0.0005,0.0043,0.0005,,,< LOD,0.0006,< LOD,0.0005,,,,,,,,,,,,,,,0.0021,0.0015,,,,,< LOD,0.0045,< LOD,0.0113,,,< LOD,0.0014,< LOD,0.0036,,,,,,,,,,,< LOD,0.0011,0.0049,0.0017,,,,,3,Passed,,
325,1/03/2006 21:08,Supervisor,MAD213,746,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.131,5.6944,0.1056,35.8479,0.2331,0.4881,0.0264,0.0943,0.0072,0.264,0.0077,1.1951,0.0131,,,,,,,,,,,,,,,,,< LOD,0.002,< LOD,0.0023,,,,,0.0019,0.0005,0.0055,0.0006,,,< LOD,0.0007,< LOD,0.0006,,,,,,,,,,,,,,,< LOD,0.0017,,,,,< LOD,0.0051,< LOD,0.0129,,,< LOD,0.0015,< LOD,0.0042,,,,,,,,,,,< LOD,0.0013,0.0042,0.0019,,,,,3,Passed,,
326,1/03/2006 21:09,Supervisor,MAD213,746.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1616,9.7689,0.1287,34.5076,0.231,0.2702,0.0212,0.1434,0.0083,8.7566,0.0352,0.5525,0.0116,,,,,,,,,,,,,,,,,< LOD,0.0017,0.0021,0.0019,,,,,0.0649,0.0019,0.0051,0.0005,,,< LOD,0.0005,< LOD,0.0005,,,,,,,,,,,,,,,< LOD,0.0014,,,,,< LOD,0.0054,0.0203,0.01,,,< LOD,0.0013,< LOD,0.0044,,,,,,,,,,,< LOD,0.0013,0.0086,0.0018,,,,,3,Passed,,
327,1/03/2006 21:10,Supervisor,MAD213,747,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1366,6.5954,0.1128,38.2266,0.2449,0.3628,0.0233,0.0845,0.0069,0.4332,0.0095,1.3563,0.0142,,,,,,,,,,,,,,,,,< LOD,0.0024,0.0029,0.0027,,,,,0.0044,0.0008,0.0067,0.0008,,,< LOD,0.0008,0.0007,0.0007,,,,,,,,,,,,,,,0.0021,0.0018,,,,,< LOD,0.0059,< LOD,0.0142,,,< LOD,0.0016,< LOD,0.0048,,,,,,,,,,,< LOD,0.0015,0.0044,0.002,,,,,3,Passed,,
328,1/03/2006 21:11,Supervisor,MAD213,747.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.121,3.0235,0.0775,29.189,0.2026,0.1624,0.0165,0.11,0.0072,1.6929,0.0165,0.4623,0.0087,,,,,,,,,,,,,,,,,< LOD,0.0019,< LOD,0.0022,,,,,0.0216,0.0012,0.0022,0.0005,,,0.002,0.0007,0.0027,0.0006,,,,,,,,,,,,,,,0.0022,0.0016,,,,,< LOD,0.0042,< LOD,0.0113,,,< LOD,0.0014,< LOD,0.0038,,,,,,,,,,,< LOD,0.0011,0.0072,0.0019,,,,,3,Passed,,
329,1/03/2006 21:12,Supervisor,MAD213,748,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1292,4.0871,0.0895,29.666,0.2052,0.1886,0.0179,0.0803,0.0068,1.4783,0.0156,0.6433,0.01,,,,,,,,,,,,,,,,,< LOD,0.0019,< LOD,0.0023,,,,,0.0244,0.0016,0.0028,0.0005,,,< LOD,0.0007,0.0009,0.0005,,,,,,,,,,,,,,,< LOD,0.0016,,,,,< LOD,0.0044,< LOD,0.0117,,,< LOD,0.0015,< LOD,0.005,,,,,,,,,,,< LOD,0.0015,0.0059,0.002,,,,,3,Passed,,
331,1/03/2006 21:15,Supervisor,MAD213,748.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1581,8.2481,0.1201,34.7822,0.2316,0.4665,0.0268,0.2246,0.0099,7.162,0.0322,0.7613,0.0126,,,,,,,,,,,,,,,,,0.0024,0.0018,< LOD,0.002,,,,,0.0617,0.0019,0.0049,0.0006,,,< LOD,0.0006,< LOD,0.0005,,,,,,,,,,,,,,,< LOD,0.0014,,,,,< LOD,0.0052,0.0183,0.0103,,,< LOD,0.0013,< LOD,0.0042,,,,,,,,,,,< LOD,0.0014,0.0092,0.0019,,,,,3,Passed,,
332,1/03/2006 21:16,Supervisor,MAD213,749,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1379,5.6132,0.1055,36.2061,0.235,0.6119,0.0297,0.1587,0.0084,0.2081,0.0071,1.2973,0.0136,< LOD,0.0287,,,< LOD,0.0081,< LOD,0.0073,0.1158,0.0128,,,< LOD,0.0016,0.0004,0.0004,< LOD,0.0016,0.002,0.0018,,,,,0.0016,0.0004,0.0055,0.0005,,,< LOD,0.0005,< LOD,0.0005,,,,,,,,,,,,,,,< LOD,0.0013,,,,,0.0046,0.004,< LOD,0.0098,,,< LOD,0.0011,< LOD,0.0034,,,,,,,,,,,< LOD,0.001,0.0055,0.0015,,,,,3,Passed,,
333,1/03/2006 21:17,Supervisor,MAD213,749.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1447,6.855,0.1116,32.3487,0.2192,0.3228,0.0225,0.4468,0.0126,3.7835,0.0242,1.1035,0.0134,,,,,,,,,,,,,,,,,0.0026,0.0019,< LOD,0.0021,,,,,0.0329,0.0016,0.0147,0.0009,,,0.0068,0.0012,0.0009,0.0006,,,,,,,,,,,,,,,< LOD,0.0015,,,,,< LOD,0.0051,0.1049,0.0127,,,< LOD,0.0014,< LOD,0.0045,,,,,,,,,,,< LOD,0.0013,0.0088,0.002,,,,,3,Passed,,
337,1/03/2006 21:21,Supervisor,MAD213,750,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1434,6.6472,0.1124,38.603,0.2479,0.2637,0.0213,0.1687,0.0088,2.0472,0.0185,1.0542,0.0132,,,,,,,,,,,,,,,,,< LOD,0.0023,0.003,0.0027,,,,,0.0122,0.0011,0.0066,0.0008,,,< LOD,0.0008,0.0008,0.0007,,,,,,,,,,,,,,,< LOD,0.0017,,,,,< LOD,0.0059,< LOD,0.0134,,,< LOD,0.0016,< LOD,0.0047,,,,,,,,,,,< LOD,0.0015,0.005,0.002,,,,,3,Passed,,
338,1/03/2006 21:22,Supervisor,MAD213,750.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1331,6.2941,0.1099,35.444,0.2315,0.3982,0.0245,0.0898,0.0071,0.4815,0.0096,1.3155,0.0137,,,,,,,,,,,,,,,,,< LOD,0.0021,0.0031,0.0024,,,,,0.0025,0.0006,0.0062,0.0007,,,< LOD,0.0007,< LOD,0.0006,,,,,,,,,,,,,,,< LOD,0.0016,,,,,< LOD,0.005,< LOD,0.0124,,,< LOD,0.0015,< LOD,0.0041,,,,,,,,,,,< LOD,0.0012,0.0054,0.0018,,,,,3,Passed,,
339,1/03/2006 21:24,Supervisor,MAD213,751,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1451,7.4596,0.1147,36.1381,0.2366,0.1631,0.0173,0.1151,0.0075,5.8672,0.0294,0.4628,0.0105,,,,,,,,,,,,,,,,,< LOD,0.0018,< LOD,0.0019,,,,,0.0629,0.0019,0.0049,0.0006,,,< LOD,0.0006,< LOD,0.0005,,,,,,,,,,,,,,,< LOD,0.0014,,,,,0.0052,0.005,0.0292,0.0105,,,< LOD,0.0012,< LOD,0.0044,,,,,,,,,,,< LOD,0.0014,0.009,0.0018,,,,,3,Passed,,
340,1/03/2006 21:25,Supervisor,MAD213,751.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1391,8.4314,0.1196,33.8495,0.226,0.2126,0.0188,0.1571,0.0084,7.1674,0.032,0.2763,0.0094,,,,,,,,,,,,,,,,,< LOD,0.002,0.0029,0.0023,,,,,0.0641,0.0024,0.0042,0.0006,,,< LOD,0.0006,< LOD,0.0005,,,,,,,,,,,,,,,< LOD,0.0015,,,,,< LOD,0.0057,0.0188,0.0116,,,< LOD,0.0014,< LOD,0.0054,,,,,,,,,,,< LOD,0.0016,0.0076,0.002,,,,,3,Passed,,
341,1/03/2006 21:26,Supervisor,MAD213,752,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1348,5.4996,0.1045,38.9065,0.2476,0.1782,0.0176,0.0696,0.0062,0.2249,0.0072,0.9523,0.0119,,,,,,,,,,,,,,,,,0.0017,0.0016,0.0019,0.0018,,,,,0.0022,0.0004,0.0061,0.0005,,,< LOD,0.0005,0.0008,0.0005,,,,,,,,,,,,,,,< LOD,0.0013,,,,,< LOD,0.0041,< LOD,0.0101,,,< LOD,0.0011,< LOD,0.0031,,,,,,,,,,,< LOD,0.001,0.0029,0.0014,,,,,3,Passed,,
342,1/03/2006 21:27,Supervisor,MAD213,752.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1908,0.1156,3.3319,0.0819,25.1885,0.1844,0.0983,0.0145,0.0564,0.006,0.2159,0.0069,0.6265,0.0092,0.0321,0.0192,,,< LOD,0.0048,0.0078,0.005,0.0983,0.0088,,,< LOD,0.0017,< LOD,0.0004,0.0016,0.0015,0.0018,0.0017,,,,,0.0053,0.0007,0.0054,0.0005,,,< LOD,0.0005,< LOD,0.0004,,,,,,,,,,,,,,,< LOD,0.0013,,,,,< LOD,0.0029,< LOD,0.0089,,,< LOD,0.0011,< LOD,0.0039,,,,,,,,,,,< LOD,0.0011,0.0042,0.0014,,,,,3,Passed,,
343,1/03/2006 21:28,Supervisor,MAD213,753,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1436,5.6855,0.1036,33.3868,0.2233,0.1213,0.0171,0.2535,0.0101,2.7908,0.0211,0.7114,0.0111,,,,,,,,,,,,,,,,,< LOD,0.0018,0.0029,0.0022,,,,,0.0343,0.0015,0.0072,0.0007,,,< LOD,0.0007,0.0037,0.0006,,,,,,,,,,,,,,,< LOD,0.0015,,,,,< LOD,0.0047,0.0303,0.0114,,,< LOD,0.0014,< LOD,0.0039,,,,,,,,,,,0.0014,0.0013,0.0112,0.0021,,,,,3,Passed,,
344,1/03/2006 21:29,Supervisor,MAD213,753.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1376,5.9994,0.1051,33.175,0.2214,0.1278,0.0159,0.0788,0.0067,2.9044,0.0213,0.5161,0.0098,,,,,,,,,,,,,,,,,0.0024,0.0017,0.0025,0.0019,,,,,0.0333,0.0014,0.003,0.0005,,,0.0008,0.0007,0.0059,0.0007,,,,,,,,,,,,,,,< LOD,0.0014,,,,,< LOD,0.0043,< LOD,0.0103,,,0.0013,0.0013,< LOD,0.0038,,,,,,,,,,,< LOD,0.0012,0.0065,0.0017,,,,,3,Passed,,
345,1/03/2006 21:31,Supervisor,MAD213,754,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1328,6.8889,0.1126,38.0157,0.2436,0.0838,0.0143,0.0599,0.0061,2.3102,0.0193,0.6598,0.0108,,,,,,,,,,,,,,,,,0.002,0.0016,0.0024,0.0018,,,,,0.0228,0.001,0.0029,0.0004,,,0.0111,0.0009,0.0031,0.0006,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0041,< LOD,0.0095,,,0.0013,0.0011,< LOD,0.0034,,,,,,,,,,,< LOD,0.0011,0.007,0.0015,,,,,3,Passed,,
346,1/03/2006 21:32,Supervisor,MAD213,754.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.2927,0.1565,4.9821,0.0986,34.1565,0.2272,0.244,0.0202,0.1278,0.0079,2.0756,0.0185,0.9101,0.0121,,,,,,,,,,,,,,,,,0.0043,0.0018,0.0018,0.0017,,,,,0.0249,0.0012,0.0225,0.0009,,,0.0079,0.0011,< LOD,0.0005,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.004,0.2375,0.0122,,,< LOD,0.0012,< LOD,0.0037,,,,,,,,,,,< LOD,0.0011,0.0059,0.0015,,,,,3,Passed,,
347,1/04/2006 11:45,Supervisor,MAD213,755,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1396,7.0441,0.1125,29.3531,0.2055,0.2681,0.021,0.099,0.0074,3.3056,0.0227,1.1437,0.0134,,,,,,,,,,,,,,,,,0.0023,0.0016,0.0025,0.0018,,,,,0.033,0.0014,0.0376,0.0011,,,< LOD,0.0009,< LOD,0.0004,,,,,,,,,,,,,,,0.002,0.0013,,,,,< LOD,0.0044,0.2686,0.013,,,< LOD,0.0012,< LOD,0.0036,,,,,,,,,,,< LOD,0.001,0.0105,0.0018,,,,,3,Passed,,
348,1/04/2006 11:46,Supervisor,MAD213,755.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1721,0.1447,5.6174,0.1045,31.7894,0.2162,0.3836,0.0243,0.1475,0.0084,1.0386,0.0135,1.3155,0.0138,,,,,,,,,,,,,,,,,0.004,0.002,0.0036,0.0022,,,,,0.0179,0.0011,0.049,0.0013,,,< LOD,0.0012,< LOD,0.0005,,,,,,,,,,,,,,,0.0016,0.0015,,,,,0.0049,0.0047,0.2356,0.0144,,,< LOD,0.0014,< LOD,0.004,,,,,,,,,,,< LOD,0.0012,0.0073,0.0018,,,,,3,Passed,,
349,1/04/2006 11:47,Supervisor,MAD213,756,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1519,7.5467,0.1163,33.394,0.2247,0.1363,0.0173,0.0756,0.0069,4.9377,0.0274,0.7554,0.0119,,,,,,,,,,,,,,,,,0.0055,0.002,0.0025,0.002,,,,,0.0369,0.0015,0.0435,0.0012,,,0.0067,0.0013,< LOD,0.0005,,,,,,,,,,,,,,,0.0018,0.0014,,,,,< LOD,0.005,0.3195,0.0142,,,< LOD,0.0013,< LOD,0.0042,,,,,,,,,,,< LOD,0.0013,0.009,0.0019,,,,,3,Passed,,
350,1/04/2006 11:49,Supervisor,MAD213,756.5,Li Index,Li Index,60,PWA1497,0,TMS138,0,TMS138ARu,0,,,,,0.2008,0.1284,3.355,0.0797,14.9741,0.1387,0.1226,0.0157,0.0984,0.0073,1.3705,0.015,0.8203,0.0104,,,,,,,,,,,,,,,,,0.0031,0.0015,0.0018,0.0017,,,,,0.0303,0.002,0.0235,0.0009,,,0.0106,0.0011,0.0005,0.0003,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0025,0.1321,0.01,,,0.0014,0.0013,< LOD,0.0066,,,,,,,,,,,< LOD,0.0016,0.0053,0.0016,,,,,0.0165,0,3,Passed
351,1/04/2006 11:50,Supervisor,MAD213,757,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.6242,0.1775,6.177,0.1085,28.585,0.2051,0.48,0.0275,0.1226,0.0083,2.0739,0.0187,1.4583,0.0148,,,,,,,,,,,,,,,,,0.0106,0.0021,0.0025,0.0018,,,,,0.0316,0.0014,0.0356,0.001,,,0.0305,0.0015,0.0006,0.0004,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0038,0.243,0.0121,,,< LOD,0.0012,< LOD,0.0046,,,,,,,,,,,< LOD,0.0013,0.0052,0.0015,,,,,3,Passed,,
352,1/04/2006 11:51,Supervisor,MAD213,757.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.2104,0.1284,4.6399,0.0927,20.595,0.1653,0.0772,0.0147,0.127,0.0079,1.6524,0.0164,0.9891,0.0117,,,,,,,,,,,,,,,,,0.0024,0.0016,< LOD,0.0018,,,,,0.0212,0.0015,0.0297,0.001,,,0.0051,0.0012,< LOD,0.0004,,,,,,,,,,,,,,,< LOD,0.0013,,,,,< LOD,0.0032,0.1514,0.0113,,,< LOD,0.0013,< LOD,0.005,,,,,,,,,,,< LOD,0.0014,0.0048,0.0016,,,,,3,Passed,,
353,1/04/2006 11:52,Supervisor,MAD213,758,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1377,5.8795,0.1038,30.0347,0.2079,0.2469,0.02,0.1022,0.0074,3.0028,0.0216,0.7909,0.0113,,,,,,,,,,,,,,,,,< LOD,0.0018,0.0023,0.002,,,,,0.0241,0.0013,0.0357,0.0012,,,0.0025,0.0012,< LOD,0.0005,,,,,,,,,,,,,,,< LOD,0.0014,,,,,< LOD,0.0045,0.2432,0.014,,,< LOD,0.0014,< LOD,0.0042,,,,,,,,,,,< LOD,0.0013,0.0053,0.0017,,,,,3,Passed,,
354,1/04/2006 11:53,Supervisor,MAD213,758.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1338,6.9147,0.1144,31.5045,0.2164,0.2413,0.0209,0.0759,0.0073,1.1938,0.0147,1.0931,0.013,,,,,,,,,,,,,,,,,0.0023,0.0019,0.0024,0.0022,,,,,0.0192,0.0012,0.0177,0.0009,,,0.0179,0.0014,0.0009,0.0005,,,,,,,,,,,,,,,< LOD,0.0015,,,,,< LOD,0.0044,0.0347,0.0115,,,< LOD,0.0014,< LOD,0.0046,,,,,,,,,,,< LOD,0.0014,0.0053,0.0018,,,,,3,Passed,,
356,1/04/2006 11:55,Supervisor,MAD213,759,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.2272,0.1394,4.8607,0.0954,27.3094,0.1959,0.1715,0.0177,0.1349,0.008,2.2996,0.0192,0.9138,0.0118,,,,,,,,,,,,,,,,,0.0047,0.0019,< LOD,0.0019,,,,,0.0302,0.0015,0.0229,0.0009,,,0.0157,0.0013,0.0005,0.0004,,,,,,,,,,,,,,,< LOD,0.0013,,,,,< LOD,0.0039,0.2141,0.0127,,,< LOD,0.0013,< LOD,0.0048,,,,,,,,,,,< LOD,0.0013,0.0052,0.0017,,,,,3,Passed,,
357,1/04/2006 11:57,Supervisor,MAD213,759.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.2275,0.1387,6.1065,0.1047,29.9802,0.2082,0.4755,0.0261,0.1669,0.0088,3.8657,0.0244,0.8119,0.0118,,,,,,,,,,,,,,,,,0.0027,0.002,< LOD,0.0021,,,,,0.0357,0.0018,0.0329,0.0012,,,< LOD,0.0011,< LOD,0.0005,,,,,,,,,,,,,,,< LOD,0.0016,,,,,< LOD,0.0052,0.2703,0.0155,,,< LOD,0.0015,< LOD,0.0048,,,,,,,,,,,< LOD,0.0014,0.0065,0.002,,,,,3,Passed,,
358,1/04/2006 11:58,Supervisor,MAD213,760,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.2236,0.1407,5.201,0.0994,25.8059,0.1898,0.3399,0.0237,0.0991,0.0081,2.4359,0.02,0.9848,0.0124,0.1405,0.0377,,,< LOD,0.0062,0.0288,0.0091,0.7885,0.0313,,,< LOD,0.002,0.0006,0.0005,0.0036,0.0016,< LOD,0.0016,,,,,0.0308,0.0014,0.0238,0.0009,,,0.0123,0.0011,0.0011,0.0004,,,,,,,,,,,,,,,0.0013,0.0012,,,,,< LOD,0.0037,0.2131,0.0114,,,< LOD,0.0012,< LOD,0.0041,,,,,,,,,,,< LOD,0.0012,0.0053,0.0015,,,,,3,Passed,,
359,1/04/2006 11:59,Supervisor,MAD213,760.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1734,0.149,7.3297,0.1166,31.9753,0.218,0.5193,0.0284,0.0973,0.0079,2.0373,0.0185,1.7146,0.016,,,,,,,,,,,,,,,,,0.0062,0.0019,0.0027,0.0019,,,,,0.0239,0.0011,0.0495,0.0011,,,0.0266,0.0016,0.0016,0.0005,,,,,,,,,,,,,,,0.0017,0.0012,,,,,< LOD,0.0042,0.1846,0.0116,,,< LOD,0.0012,< LOD,0.0037,,,,,,,,,,,< LOD,0.0011,0.0058,0.0016,,,,,3,Passed,,
360,1/04/2006 12:00,Supervisor,MAD213,761,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1601,0.1417,3.6844,0.0884,38.9027,0.249,0.3285,0.0226,0.1518,0.0083,1.1307,0.0142,0.9974,0.0126,,,,,,,,,,,,,,,,,0.0044,0.0021,< LOD,0.002,,,,,0.0189,0.0012,0.0249,0.001,,,0.0155,0.0014,0.0014,0.0006,,,,,,,,,,,,,,,0.0015,0.0014,,,,,< LOD,0.0049,0.2161,0.0143,,,< LOD,0.0013,< LOD,0.0044,,,,,,,,,,,< LOD,0.0013,0.0042,0.0016,,,,,3,Passed,,
361,1/04/2006 12:01,Supervisor,MAD213,761.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.2045,0.15,7.8128,0.1199,32.231,0.2189,0.1859,0.0189,0.1367,0.0081,1.395,0.0155,1.3936,0.0143,,,,,,,,,,,,,,,,,0.0043,0.0021,0.0028,0.0023,,,,,0.0199,0.0012,0.0204,0.001,,,0.008,0.0012,0.0008,0.0005,,,,,,,,,,,,,,,0.0024,0.0015,,,,,< LOD,0.0048,0.0884,0.0128,,,< LOD,0.0014,< LOD,0.0043,,,,,,,,,,,< LOD,0.0013,0.005,0.0018,,,,,3,Passed,,
